county,countyname,state,max_pop_county,max_pop_countyname,mi_to_county,dist_cat,meat_plant
44005,Newport County,RI,44007,Providence County,29.6,3,N
72109,Patillas Municipio,PR,72127,San Juan Municipio,29.65,3,N
48439,Tarrant County,TX,48113,Dallas County,29.8,3,Y
46079,Lake County,SD,46099,Minnehaha County,29.81,3,N
26161,Washtenaw County,MI,26163,Wayne County,29.88,3,N
50001,Addison County,VT,50007,Chittenden County,29.88,3,N
8001,Adams County,CO,8031,Denver County,30.14,3,N
8035,Douglas County,CO,8031,Denver County,30.18,3,N
8005,Arapahoe County,CO,8031,Denver County,30.28,3,N
28121,Rankin County,MS,28049,Hinds County,30.35,3,N
10005,Sussex County,DE,10001,Kent County,30.36,3,N
55059,Kenosha County,WI,55079,Milwaukee County,30.4,3,N
47149,Rutherford County,TN,47037,Davidson County,30.47,3,N
46125,Turner County,SD,46099,Minnehaha County,30.5,3,N
72039,Ciales Municipio,PR,72127,San Juan Municipio,30.57,3,N
29099,Jefferson County,MO,29510,St. Louis County,30.73,3,N
27037,Dakota County,MN,27053,Hennepin County,30.74,3,Y
48257,Kaufman County,TX,48113,Dallas County,30.77,3,N
20191,Sumner County,KS,20173,Sedgwick County,30.95,3,N
19015,Boone County,IA,19153,Polk County,30.99,3,N
72015,Arroyo Municipio,PR,72127,San Juan Municipio,31.16,3,N
72095,Maunabo Municipio,PR,72127,San Juan Municipio,31.3,3,N
72057,Guayama Municipio,PR,72127,San Juan Municipio,31.32,3,N
23031,York County,ME,23005,Cumberland County,31.35,3,N
40081,Lincoln County,OK,40109,Oklahoma County,31.38,3,N
13057,Cherokee County,GA,13121,Fulton County,31.39,3,N
72053,Fajardo Municipio,PR,72127,San Juan Municipio,31.54,3,N
48085,Collin County,TX,48113,Dallas County,31.7,3,N
17097,Lake County,IL,17031,Cook County,31.73,3,N
31053,Dodge County,NE,31055,Douglas County,31.98,3,N
33015,Rockingham County,NH,33011,Hillsborough County,31.99,3,N
40017,Canadian County,OK,40109,Oklahoma County,32.08,3,N
26099,Macomb County,MI,26163,Wayne County,32.16,3,N
37159,Rowan County,NC,37119,Mecklenburg County,32.19,3,N
72017,Barceloneta Municipio,PR,72127,San Juan Municipio,32.29,3,N
72054,Florida Municipio,PR,72127,San Juan Municipio,32.33,3,N
47043,Dickson County,TN,47037,Davidson County,32.36,3,N
39093,Lorain County,OH,39035,Cuyahoga County,32.37,3,N
44009,Washington County,RI,44007,Providence County,32.49,3,N
42029,Chester County,PA,42101,Philadelphia County,32.72,3,N
41067,Washington County,OR,41051,Multnomah County,32.93,3,N
37167,Stanly County,NC,37119,Mecklenburg County,32.98,3,N
45035,Dorchester County,SC,45019,Charleston County,33.12,3,N
28021,Claiborne County,MS,28049,Hinds County,33.28,3,N
21163,Meade County,KY,21111,Jefferson County,33.29,3,N
34039,Union County,NJ,34021,Mercer County,33.33,3,N
72149,Villalba Municipio,PR,72127,San Juan Municipio,33.43,3,N
24035,Queen Anne's County,MD,24510,Baltimore County,33.49,3,N
27141,Sherburne County,MN,27053,Hennepin County,33.54,3,Y
19121,Madison County,IA,19153,Polk County,33.59,3,N
